Call-550,Fold,Raise-100,Raise-600,Fold,Call-200,Check,Check,Check,Call-200,Bet-150,Call-50,Fold,Fold,Raise-400,Fold,Call-50,Fold,Fold,Fold,Call-200,Check,Check,Check,Call-200,Check,Check,Check,Call-50,Fold,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Raise-200,Check,Check,Check,Raise-200,Check,Fold,Fold,Fold,Raise-200,Raise-200,Fold,Raise-200,Bet-150,Raise-1250,Fold,Raise-200,Raise-200,Check,Check,Check,Raise-200,Check,Check,Check,Raise-1250,Call-25,Fold,Raise-200,Fold,0.3,0.7
Fold,Call-50,Fold,Fold,Fold,Call-50,Fold,All in,Call-150,Bet-250,Raise-200,Call-200,Check,Check,Fold,Call-50,Fold,Call-50,Fold,Call-50,Fold,Check,Check,Check,Check,Fold,Call-200,Fold,Call-50,Fold,0.4,0.2
Fold,Raise-200,Call-1075,Bet-1450,Bet-1900,All in,Call-5000,Raise-150,Fold,Fold,Call-50,Fold,Fold,Fold,Raise-150,Call-50,Fold,Raise-150,Call-150,Bet-150,Call-50,Check,Check,Check,Fold,Raise-150,Check,Bet-50,Raise-150,Raise-200,0.3,0.7
Raise-100,Check,Check,Check,Raise-1250,Call-1450,Call-1900,Fold,Fold,Fold,Call-50,Fold,Fold,Call-50,Fold,Fold,Fold,Fold,Fold,Raise-300,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.4,0.5
Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-600,All in,Fold,Fold,Fold,Fold,0.9,0.1
Fold,Call-50,Fold,Fold,Fold,Call-200,Fold,Call-50,Fold,Call-50,Fold,Call-50,Call-150,Bet-250,Fold,Fold,All in,Call-50,Fold,Fold,Raise-350,Check,Check,Check,Fold,Fold,Call-50,Check,Check,Bet-100,0.4,0.2
Fold,Call-175,Bet-200,Bet-400,Raise-200,Fold,Raise-200,Check,Fold,Raise-200,Fold,Raise-200,Call-425,Fold,Fold,Raise-150,Raise-150,Raise-150,Call-250,Check,Check,Bet-200,Fold,Call-25,Check,Check,Check,Fold,Raise-200,Raise-2400,0.3,0.7
Raise-450,Call-2100,Check,Fold,Call-50,Call-200,Bet-250,Fold,Raise-600,Call-50,Raise-350,Bet-450,Call-50,Fold,Fold,Fold,Call-50,Fold,Check,Check,Check,Check,Call-25,Check,Check,Check,Call-50,Call-50,Fold,Fold,0.4,0.2
Raise-250,Fold,Raise-250,Fold,Raise-100,Call-275,Check,Fold,Call-50,Fold,Raise-250,Fold,All in,Call-50,Check,Check,Check,Check,Check,Check,Check,Fold,Raise-250,Raise-250,Fold,Fold,Raise-250,Fold,Call-150,Bet-100,0.3,0.7
All in,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Raise-1250,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-225,Bet-300,Fold,Fold,Fold,Fold,0.9,0.1
Fold,Raise-250,Fold,Fold,Call-7200,Call-25,Raise-400,Call-25,Fold,Raise-400,Call-25,Fold,Raise-400,Fold,Raise-400,Raise-450,Bet-900,Raise-600,Raise-15600,All in,Raise-100,Check,Check,Check,Raise-400,Raise-100,Fold,Raise-100,Check,Check,0.3,0.7
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Raise-1250,All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Raise-1250,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Fold,Fold,Fold,Raise-100,Call-25,Raise-100,Bet-50,Raise-150,Raise-100,Fold,Raise-100,Bet-50,Fold,Raise-150,Raise-100,Call-200,Fold,Call-150,Bet-100,Bet-100,Fold,Raise-300,Bet-400,Call-50,Check,Check,Check,Fold,Raise-100,Call-50,0.3,0.7
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Raise-600,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,0.9,0.1
Check,Check,Fold,Raise-100,Raise-100,Raise-100,Call-150,Bet-150,Raise-100,Raise-100,Fold,Call-25,Raise-100,Fold,Fold,Call-25,Fold,Call-50,Fold,Fold,Call-25,Fold,Fold,Fold,Raise-100,Call-25,Raise-100,Raise-100,Fold,Call-150,0.3,0.7
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-600,Check,0.9,0.1
Check,Bet-100,Call-25,Fold,Fold,Fold,Raise-150,Call-25,Raise-150,Fold,Raise-150,Raise-100,Bet-100,Bet-150,Raise-150,Fold,Call-25,Fold,Raise-150,Fold,Raise-150,Call-25,Check,Check,Check,Raise-150,Raise-150,Raise-200,Call-25,Fold,0.3,0.7
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Raise-1250,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Check,Check,Check,Call-25,Raise-200,Fold,Call-150,Bet-150,Fold,Raise-200,Fold,Fold,Fold,Fold,Raise-100,Raise-200,Call-25,Raise-200,Fold,Call-25,All in,Call-25,Raise-150,Fold,Raise-150,Fold,Raise-100,Bet-100,Bet-150,Raise-150,0.3,0.7
Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,0.9,0.1
Raise-150,Bet-150,Raise-150,Fold,Fold,Call-50,Check,Check,Check,Fold,Raise-150,Check,Bet-100,Fold,Raise-200,Fold,Fold,Fold,Raise-150,Raise-100,Raise-200,Fold,Call-25,Raise-200,Fold,Fold,Fold,Call-25,Raise-200,Check,0.3,0.7
All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Check,Raise-200,Raise-200,Fold,Call-25,Fold,Fold,Raise-150,Fold,Fold,Call-25,Raise-200,Fold,All in,Raise-150,Fold,Raise-150,Fold,Raise-150,Fold,Fold,Raise-150,Call-25,Fold,Fold,Raise-150,Fold,Fold,Raise-150,Raise-150,0.3,0.7
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-1250,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Raise-450,Raise-4700,All in,Fold,Fold,Fold,All in,Raise-150,Raise-800,Fold,0.9,0.1
Fold,Fold,Fold,Raise-300,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-300,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
